t_s,gpu_util_%,gpu_mem_mb,power_w,sm_mhz,mem_mhz,temp_c,cpu_total_%,cpu_mainproc_%,disk_read_mbs,disk_write_mbs,ram_used_gb
301.6,99,5924,30.84,1777,5486,58,43.9,71.6,1.85,0.19,13.96
302.7,98,5924,35.85,1777,5486,58,64.0,94.9,5.37,0.97,13.55
303.8,100,5924,40.37,1777,5486,57,37.6,78.5,4.32,0.4,13.51
304.8,100,5924,27.17,1777,5486,56,36.2,87.4,3.84,0.18,13.49
305.9,100,5924,33.08,1777,5486,57,43.9,78.3,5.3,4.6,13.36
307.0,100,5924,27.86,1777,5486,57,35.7,83.1,3.5,1.07,13.4
308.0,100,5924,29.66,1777,5486,56,30.7,73.1,6.23,0.06,13.39
309.1,100,5924,30.02,1777,5486,57,36.6,72.0,3.24,0.26,13.41
310.2,99,5924,29.51,1777,5486,57,35.0,73.0,3.21,0.48,13.38
311.2,100,5924,29.15,1777,5486,58,33.5,72.2,1.95,0.22,13.4
312.3,100,5924,28.72,1777,5486,57,41.6,73.0,2.97,0.23,13.41
313.4,99,5924,29.89,1777,5486,58,36.5,84.4,2.78,10.24,13.41
314.4,97,5924,28.75,1777,5486,58,35.5,81.7,3.38,0.05,13.4
315.5,100,5924,29.43,1777,5486,57,34.8,83.2,4.67,0.18,13.41
316.6,100,5924,28.81,1777,5486,56,34.7,74.0,7.4,0.07,13.41
317.6,100,5924,30.00,1777,5486,57,38.3,80.1,5.6,0.23,13.4
318.7,100,5924,29.79,1777,5486,57,32.7,71.0,4.5,0.5,13.42
319.7,99,5924,29.91,1777,5486,58,36.9,71.6,3.78,0.06,13.41
320.8,98,5924,28.66,1777,5486,58,37.9,77.8,3.6,2.24,13.38
321.9,99,5924,29.83,1777,5486,57,31.4,68.5,4.12,0.39,13.38
322.9,100,5924,29.15,1777,5486,58,41.1,80.3,4.75,1.25,13.37
324.0,100,5924,28.77,1777,5486,58,36.2,88.4,4.39,0.66,13.39
325.1,100,5924,29.18,1777,5486,57,38.2,75.4,6.19,1.06,13.42
326.1,100,5924,30.08,1777,5486,57,34.2,81.0,3.9,8.61,13.39
327.2,100,5924,30.16,1777,5486,57,31.8,72.5,4.76,1.16,13.4
328.3,100,5924,29.86,1777,5486,57,36.8,84.2,4.87,0.05,13.42
329.3,100,5924,29.18,1777,5486,58,30.5,70.9,2.99,0.0,13.4
330.4,99,5924,29.66,1777,5486,57,22.5,74.4,0.63,0.07,13.39
331.4,100,5924,29.80,1777,5486,57,27.0,76.9,0.13,0.42,13.39
332.5,98,5924,28.40,1777,5486,57,22.9,84.9,0.21,0.28,13.39
333.6,100,5924,29.03,1777,5486,57,25.6,79.3,0.0,0.0,13.39
334.6,100,5924,29.06,1777,5486,56,24.4,75.4,0.0,0.0,13.39
335.7,19,5924,22.58,1777,5486,55,27.2,14.7,0.48,0.35,13.69
336.7,19,5924,14.83,1777,5486,54,29.0,0.0,0.0,0.03,13.76
337.8,19,5924,11.60,1177,5486,53,27.3,0.0,0.02,0.02,13.98
338.9,18,5924,9.65,1177,5486,53,24.9,0.0,0.01,0.0,14.12
339.9,18,5924,9.60,1177,5486,53,34.1,0.0,0.56,0.01,14.18
341.0,100,5924,11.52,1777,5486,53,34.6,8.9,48.86,0.49,14.3
342.1,100,5924,27.41,1777,5486,56,43.9,28.9,71.53,0.45,14.36
343.1,100,5924,28.63,1777,5486,55,27.9,11.6,38.7,0.38,14.33
344.2,100,5924,27.65,1777,5486,55,33.3,32.2,31.84,0.1,14.36
345.3,100,5924,28.42,1777,5486,56,28.9,20.7,34.65,0.45,14.35
346.3,100,5924,28.49,1777,5486,56,27.2,7.3,31.36,1.46,14.34
347.4,100,5924,28.43,1777,5486,56,34.0,26.5,35.4,0.21,14.33
